condition,seed,step,grad_norm,loss,raw_reward,run
B,20260821,16,0.3554649353027344,0.007895194925367832,0.3359375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,17,0.8020098209381104,0.02105746790766716,0.47265625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,18,0.4996100664138794,0.01462563220411539,0.51953125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,19,0.7430817484855652,0.04066089168190956,0.3515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,20,0.49787843227386475,0.01868140511214733,0.41015625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,21,0.9670242071151733,0.007662575226277113,0.33984375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,22,0.43042072653770447,0.03891659528017044,0.2890625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,23,0.848482608795166,-0.00833464227616787,0.35546875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,24,0.49345818161964417,0.01620876044034958,0.3984375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,25,1.0045613050460815,0.024324102327227592,0.45703125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,26,0.5814957618713379,0.01309897005558014,0.390625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,27,0.7427628040313721,0.01805795729160309,0.46875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,28,0.5566834807395935,0.016962379217147827,0.453125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,29,0.6607221961021423,0.028756098821759224,0.41015625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,30,2.9024391174316406,0.04566473886370659,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,31,1.311038613319397,-0.015103829093277454,0.375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,32,1.502185344696045,-0.008660083636641502,0.42578125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,33,0.4606550633907318,0.024520402774214745,0.37890625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,34,2.549971103668213,0.009409774094820023,0.4453125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,35,0.9344590902328491,0.029513882473111153,0.42578125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,36,0.7737729549407959,0.015993032604455948,0.37109375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,37,0.8164352178573608,0.019357899203896523,0.4296875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,38,0.5632349252700806,-0.01838708482682705,0.484375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,39,0.6351881623268127,0.044635362923145294,0.48046875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,40,0.5129201412200928,0.008812150917947292,0.47265625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,41,0.7399413585662842,0.0092493686825037,0.515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,42,0.5753204822540283,0.03625643998384476,0.48046875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,43,0.5843178033828735,0.04281272739171982,0.6171875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,44,0.692403256893158,0.010690229944884777,0.53515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,45,0.560636043548584,0.015620275400578976,0.5234375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,46,0.5430264472961426,0.03718603029847145,0.5,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,47,0.6651355028152466,-0.0031856836285442114,0.515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,48,0.46284377574920654,0.03093728981912136,0.5703125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,49,1.1949883699417114,0.011358576826751232,0.3828125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,50,0.5619573593139648,-0.0073581263422966,0.52734375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
